LoVoCCSID,parent_LoVoCCSID,Name,cent_im_ra,cent_im_dec,redshift,MCXC_R500,MCXC_RA,MCXC_DEC,manual_xray_ra,manual_xray_dec,ICM_CENT_INIT_NOTES,MXCX_Lx500_0.1_2.4,name,ang_prop_ratio
0,0,A2142,239.5858,27.2269,0.0894,1.3803,239.5858,27.2269,,,mcxc cent,1.0676087e+45,LoVoCCS-0,98.96555426546402
3,3,A1795,207.2208,26.5956,0.0622,1.2236,207.2208,26.5956,,,mcxc cent,5.478067e+44,LoVoCCS-3,71.02123198698102
6A,6,A2069South,231.0347497,29.8851381,0.1145,1.1292,231.0408,29.9211,231.0347497,29.8851381,offcent,4.263016e+44,LoVoCCS-6A,123.23762876987452
6B,6,A2069North,231.0954769,30.0109148,0.1145,1.1292,231.0408,29.9211,231.0954769,30.0109148,,4.263016e+44,LoVoCCS-6B,123.23762876987452
8,8,A2244,255.6788,34.0619,0.0953,1.1295,255.6788,34.0619,,,mcxc cent,4.045226e+44,LoVoCCS-8,104.79786165897636
16,16,A2256,255.9533,78.6444,0.0581,1.1224,255.9533,78.6444,,,"no notes, but looks very diffuse; I think mcxc center should be a good starting point",3.543467e+44,LoVoCCS-16,66.65338302952551
17,17,A2034,227.5488,33.5147,0.113,1.0866,227.5488,33.5147,,,"mcxc cent (no notes, very faint)",3.513114e+44,LoVoCCS-17,121.82616159830899
19,19,A2837,13.1664349,-80.2615992,0.1141,1.0783,13.1871,-80.2664,13.1664349,-80.2615992,offcent (only chandra),3.393306e+44,LoVoCCS-19,122.86171259330483
20,20,MCXC J1558.3-1410,239.5915,-14.1658,0.097,1.0745,239.5967,-14.1678,239.5915,-14.1658,offcent (but mcxc cent is okay),3.1797969999999998e+44,LoVoCCS-20,106.46365931671541
23,23,A2255,258.1967,64.0614,0.0809,1.0678,258.1967,64.0614,,,mcxc cent (a chandra observations looks good),2.9490599999999994e+44,LoVoCCS-23,90.42184402149019
25,25,A1361,175.9151,46.3556,0.1167,1.0344,175.8762,46.3844,175.9151,46.3556,offcent (only chandra),2.7863069999999998e+44,LoVoCCS-25,125.29901155809542
32,32,A2065,230.6248,27.7066,0.0723,1.048,230.6104,27.7094,230.6248,27.7066,offcent (but mcxc cent is still okay),2.627874e+44,LoVoCCS-32,81.60443801687822
34,34,A0007,2.935,32.4169,0.1073,1.0232,2.935,32.4169,,,mcxc cent,2.571958e+44,LoVoCCS-34,116.41801329226449
36,36,MCXC J0736.4+3925,114.1588,39.4141,0.1177,1.0128,114.1058,39.4333,114.1588,39.4141,offcent (need to double-check; spikey psf),2.5180689999999998e+44,LoVoCCS-36,126.23257040584448
37,37,A4010,352.8095,-36.5103,0.0957,1.0172,352.8029,-36.5067,352.8095,-36.5103,offcent (but the mcxc cent is okay),2.419356e+44,LoVoCCS-37,105.1904023274076
38,38,A2110,234.9529,30.7172,0.098,1.0017,234.9529,30.7172,,,mcxc cent (chandra),2.257681e+44,LoVoCCS-38,107.44049192171983
40,40,MCXC J1539.5-8335,234.8913,-83.5922,0.0728,1.0138,234.8913,-83.5922,,,mcxc cent,2.235082e+44,LoVoCCS-40,82.12191809825967
43,43,A1307,173.2138,14.4554,0.0834,0.9927,173.2208,14.4689,173.2138,14.4554,offcent (but the mcxc cent is okay),2.074613e+44,LoVoCCS-43,92.95219058940152
44,44,A3814,327.2808,-30.6986,0.1184,0.9713,327.2808,-30.6986,,,mcxc cent,2.053481e+44,LoVoCCS-44,126.88478912111265
47,47,A2199,247.1583,39.5486,0.0299,1.004,247.1583,39.5486,,,mcxc cent,1.900691e+44,LoVoCCS-47,35.44521784645188
50,50,A2061,230.3208,30.64,0.0777,0.9766,230.3208,30.64,,,mcxc cent (very diffuse and a bit faint),1.884743e+44,LoVoCCS-50,87.16151016879283
52,52,A0496,68.41,-13.2592,0.0326,0.9974,68.41,-13.2592,,,mcxc cent,1.8529899999999998e+44,LoVoCCS-52,38.52377775801577
53,53,MCXC J2344.2-0422,356.0667,-4.3675,0.0786,0.9727,356.0667,-4.3675,,,mcxc cent,1.852614e+44,LoVoCCS-53,88.08092834275855
54,54,ZwCl235,10.9671,24.4019,0.083,0.969,10.9671,24.4019,,,mcxc cent (from chandra; no xmm),1.8395899999999998e+44,LoVoCCS-54,92.5483201709632
