name,spec_id,survey,ra,dec,z,z_err,z_quality,ok_z_quality,only_tool_spec,source
LoVoCCS-1,4712886,hectospec,227.7332083333,5.7415086111,0.07351239770650864,,,,False,tool
LoVoCCS-2,4611177,cfa,44.74148178100586,13.582242012023926,0.07451820842749568,0.0005003460727002843,,,True,tool
LoVoCCS-4A,231472,sdss,10.460272,-9.3031461,0.055358774960041046,1.5695135516580194e-05,,1.0,False,tool
LoVoCCS-4B,5683825,fast,10.429208755493164,-9.439416885375977,0.05612269043922424,,,,False,tool
LoVoCCS-5,4639181,cfa,303.1138916015625,-56.82408142089844,0.055378303326467475,0.00014676818132541673,,,True,tool
LoVoCCS-7,4641235,cfa,330.4723205566406,-59.94541931152344,0.09979235637982939,0.000160110743264091,,,True,tool
LoVoCCS-9,4614179,cfa,67.8058853149414,-61.453575134277344,0.06035507892959297,0.000213480991018788,,,True,tool
LoVoCCS-10,39627685357422424,desi_dr1,194.8411882152227,-4.194681970441572,0.08456144667805883,5.682004583600305e-05,,,False,tool
LoVoCCS-11,4619246,cfa,137.1344451904297,-9.629995346069336,0.054804573163104484,7.671973114737694e-05,,,True,tool
LoVoCCS-12,4567067,6df,206.86825,-32.865,0.038482,,4.0,1.0,False,tool
LoVoCCS-13,4611961,cfa,49.4886474609375,-44.23967742919922,0.07575239540682305,0.00023349483392679936,,,True,tool
LoVoCCS-14,4611025,cfa,44.47136688232422,13.030099868774414,0.07128597279785184,0.0002234879124727937,,,True,tool
LoVoCCS-15,39627502527709504,desi_dr1,351.33219801499,-12.12419531170708,0.08208989206281606,3.291267127868876e-06,,,False,tool
LoVoCCS-18,45082,sdss,194.67236,-1.7642387,0.08217310905456543,3.9478189137298614e-05,,1.0,False,tool
LoVoCCS-21,4582366,6df,201.987,-31.4955,0.046877,,4.0,1.0,False,tool
LoVoCCS-22,4574437,6df,308.6894167,-35.8239167,0.089803,,4.0,True,True,tool
LoVoCCS-24,4525456,6df,342.4925,-64.4296944,0.094113,,4.0,True,False,tool
LoVoCCS-26,4641561,cfa,333.63140869140625,-10.374037742614746,0.09900180958496294,0.0005003460727002843,,,True,tool
LoVoCCS-27,4612850,cfa,55.722450256347656,-53.631927490234375,0.058163563131165726,0.00033356404846685624,,,True,tool
LoVoCCS-28,153612,sdss,184.42136,3.6558062,0.07676802575588226,1.652200626267586e-05,,True,True,tool
LoVoCCS-29,4475142,6df,10.5371667,-28.53575,0.108664,,4.0,True,False,tool
LoVoCCS-30,4619540,cfa,139.5236358642578,-12.095272064208984,0.054797901882135146,0.0003002076436201706,,,True,tool
LoVoCCS-31,4525343,6df,332.57825,-12.1706111,0.083019,,4.0,True,True,tool
LoVoCCS-33,4495033,6df,172.59925,-14.5813056,0.107275,,4.0,True,True,tool
LoVoCCS-35,4642398,cfa,341.564697265625,-52.723899841308594,0.09739403087135269,0.000213480991018788,,,True,tool
LoVoCCS-39,759496,sdss,229.69052,6.2322551,0.10208040475845337,2.636858516780194e-05,,True,True,tool
LoVoCCS-41A,364607,sdss,202.7108,-1.8619641,0.08786822110414505,1.5825444279471412e-05,,True,False,tool
LoVoCCS-41B,5796248,sdss,202.79513,-1.7302861,0.08365222811698914,1.5796660591149703e-05,,True,False,tool
LoVoCCS-41C,365048,sdss,202.54301,-2.1050103,0.08657326549291611,2.139170464943163e-05,,1.0,False,tool
LoVoCCS-42,ACO3822-Seq52,,,,0.07568914447350163,0.000160111010300475,,,,ENACS
LoVoCCS-45,,,,,,,,,,
LoVoCCS-46A,4526792,6df,335.98725,-1.5832222,0.089976,,4.0,True,True,tool
LoVoCCS-46B,2221—0146A,,,,0.093288,0.000103,,,,https://ui.adsabs.harvard.edu/abs/1991AJ....102.1581B/abstract
LoVoCCS-46C,4515749,6df,335.9492083,-1.6503611,0.089399,,4.0,True,True,tool
LoVoCCS-48A,4565143,6df,194.2982917,-17.4095556,0.04703,,4.0,1.0,False,tool
LoVoCCS-48B,5655893,fast,194.45664978027344,-17.272727966308594,0.049241114407777786,,,,False,tool
LoVoCCS-49,A1348,,,,0.11985,,,,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.1758H/abstract
LoVoCCS-51,4547292,6df,334.50225,-65.1811944,0.094063,,4.0,True,True,tool
LoVoCCS-55,4472467,6df,183.864125,-39.0323889,0.116886,,4.0,True,False,tool
LoVoCCS-58,,,,,0.08982227677856647,0.00019680311682766718,,,,https://ui.adsabs.harvard.edu/abs/2009A%26A...499..357G/abstract
LoVoCCS-60A,,,,,,,,,,
LoVoCCS-60B,4515736,6df,334.668,-3.7799722,0.094235,,4.0,True,True,tool
LoVoCCS-61,5695960,fast,336.533203125,17.356769561767578,0.10987728834152222,,,,True,tool
LoVoCCS-63,1305231,eboss,229.0747200000001,0.089044172,0.12070508301258087,2.1911293515586294e-05,,1.0,False,tool
LoVoCCS-65,4629682,cfa,201.70278930664062,-27.143766403198242,0.04576165180916801,0.00016344638374875956,,,True,tool
LoVoCCS-66A,5673151,fast,328.09100341796875,-19.547277450561523,0.09202830493450165,,,,False,tool
LoVoCCS-66B,4514179,6df,328.039875,-19.72325,0.095733,,4.0,1.0,False,tool
LoVoCCS-67,4549006,6df,359.2529167,-34.7591944,0.049065,,4.0,1.0,False,tool
LoVoCCS-74,,,,,0.10931245663660137,0.00014343278006084218,,,,REFLEX spectroscopic redshifts
LoVoCCS-75,,,,,0.11097694401451673,0.00021014570101937342,,,,https://ui.adsabs.harvard.edu/abs/1995ApJS...96..343Q/abstract
LoVoCCS-76,4579257,6df,348.2559167,-21.6343611,0.088247,,4.0,1.0,False,tool
LoVoCCS-80,4612371,cfa,52.149471282958984,-55.71210861206055,0.08394472843716905,0.00011007613599406256,,,True,tool
LoVoCCS-85,4457308,6df,12.3452292,-29.5202694,0.107996,,4.0,True,True,tool
LoVoCCS-89,4579322,6df,348.0830833,-21.5026667,0.108736,,4.0,1.0,False,tool
LoVoCCS-90,1838090,eboss,227.8605,6.3491003,0.08098293840885162,1.3467792996380012e-05,,1.0,False,tool
LoVoCCS-93A,4616631,cfa,96.89970397949219,-54.44948959350586,0.048433499837387525,0.00033356404846685624,,,True,tool
LoVoCCS-93B,4616568,cfa,96.7052993774414,-54.542442321777344,0.05174245519817874,0.00012008305744806824,,,True,tool
LoVoCCS-94,4497642,6df,191.1506667,-11.9944722,0.09514,,4.0,True,True,tool
LoVoCCS-98,227425,sdss,358.55703,-10.419044,0.07762545347213745,1.5651317880838178e-05,,True,False,tool
LoVoCCS-99,4580961,6df,194.3414167,-30.3635556,0.054257,,4.0,True,True,tool
LoVoCCS-108,4471686,6df,174.847875,-33.4466667,0.109516,,4.0,True,True,tool
LoVoCCS-119,39627973631940544,desi_dr1,125.2595017186849,7.863132568161447,0.111015583981467,7.07662988118626e-06,,,True,tool
LoVoCCS-121,4612420,cfa,52.461822509765625,-52.57991027832031,0.06394422809109634,0.0003335640484668563,,,True,tool
LoVoCCS-122,2842363537915904,desi_dr1,156.9945654229465,-6.798958901198646,0.1160451681166857,1.835799115962871e-05,,,False,tool
LoVoCCS-123,,,,,0.057353098148049314,0.00020013876287559374,,,,https://ui.adsabs.harvard.edu/abs/2003MNRAS.339..652K/abstract
LoVoCCS-131,0908-103,,,,0.0921,0.0002,,,,https://ui.adsabs.harvard.edu/abs/1995AJ....109...14O/abstract
LoVoCCS-134,ACO3825-Seq52,,,,0.07569666666666666,0.00022,,,,ENACS
