name,spec_id,survey,spec_ra,spec_dec,z,z_err,z_quality,ok_z_quality,only_tool_spec,source
LoVoCCS-5,4639141,cfa,302.7088317871094,-56.6729621887207,0.05633896778605202,0.00023349483392679936,,,True,tool
LoVoCCS-9,4614026,cfa,67.4118423461914,-61.17456817626953,0.06671280969337125,0.00016678202423342812,,,True,tool
LoVoCCS-11,4619294,cfa,137.32974243164062,-9.70008659362793,0.054214164797318144,9.339793357071975e-05,,,True,tool
LoVoCCS-13,ACO3112-Seq34,,,,0.07543897101990714,0.00027018732988205155,,,,ENACS
LoVoCCS-14,4611070,cfa,44.53531265258789,13.069884300231934,0.0683739586547362,0.000106740495509394,,,True,tool
LoVoCCS-21,4500084,6df,201.8734167,-31.3899722,0.047757,,4.0,1.0,False,tool
LoVoCCS-22,4536070,6df,308.686375,-35.8171944,0.088792,,4.0,1.0,False,tool
LoVoCCS-24,ACO3921-Seq13,,,,0.09299447617014463,0.00019013182473181405,,,,ENACS
LoVoCCS-27,4612857,cfa,55.75392532348633,-53.63816452026367,0.05870060124919736,0.00033356404846685624,,,True,tool
LoVoCCS-28,153623,sdss,184.47235,3.6945491,0.07691876590251923,1.6532971130800433e-05,,1.0,False,tool
LoVoCCS-30,4619553,cfa,139.61361694335938,-12.373336791992188,0.05341027544051302,0.0009339793357071974,,,True,tool
LoVoCCS-31,,,,,,,,,,
LoVoCCS-33,,,,,,,,,,
LoVoCCS-39,1837766,eboss,229.6876,6.2740704,0.10583388060331345,1.6349415091099218e-05,,1.0,False,tool
LoVoCCS-41C,364597,sdss,202.54555,-2.1037809,0.08629442751407623,1.9920618797186762e-05,,True,True,tool
LoVoCCS-42,4577021,6df,328.5473333,-57.8448056,0.073977,,4.0,True,False,tool
LoVoCCS-45,,,,,0.11827533756738005,0.000266851683834125,,,,REFLEX spectroscopic redshifts
LoVoCCS-55,,,,,,,,,,
LoVoCCS-58,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.513.3013Y/abstract
LoVoCCS-60A,,,,,,,,,,
LoVoCCS-61,,,,,0.1096806,9.88e-06,,,,https://ui.adsabs.harvard.edu/abs/2019ApJS..240...39G/abstract
LoVoCCS-80,4612364,cfa,52.127994537353516,-55.704246520996094,0.08547578741963191,0.00011341177647873111,,,False,tool
LoVoCCS-108,,,,,,,,,,
LoVoCCS-131,4561063,6df,137.7417083,-10.5645833,0.090662,,4.0,True,True,tool
LoVoCCS-134,ACO3825-Seq55,,,,0.075308880824038,0.0002201526391631531,,,,ENACS
