cluster_name,nominal_vlass_coverage,_r,recno,CompName,CompId,IslId,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Ftot,e_Ftot,Fpeak,e_Fpeak,Maj,e_Maj,Min,e_Min,PA,e_PA,FtotIsl,e_FtotIsl,Islrms,Islmean,ResIdIslrms,ResidIslmean,RAMdeg,DEMdeg,e_RAMdeg,e_DEMdeg,SCode,Xposn,e_Xposn,Yposn,e_Yposn,XposnMax,e_XposnMax,YposnMax,e_YposnMax,MajImgPlane,e_MajImgPlane,MinImgPlane,e_MinImgPlane,PAImgPlane,e_PAImgPlane,DCMaj,e_DCMaj,DCMin,e_DCMin,DCPA,e_DCPA,DCMajImgPlane,e_DCMajImgPlane,DCMinImgPlane,e_DCMinImgPlane,DCPAImgPlane,e_DCPAImgPlane,Tile,Subtile,RASdeg,DESdeg,NVSSdist,FIRSTdist,PeakToRing,DupFlag,QualFlag,NNdist,BMaj,BMin,BPA,MainSample,QLcutout,arcsec_sep_from_bcg
LoVoCCS-5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-11,True,4.201,1291547.0,VLASS1QLCIR J090919.27-094159.0,46.0,50.0,137.33031222,-9.69972391,6.202e-05,4.797e-05,5.596,0.656000018119812,1.871,0.16899999976158142,5.7721,0.5669,4.1644,0.3469,61.8027,14.1222,4.549,0.3790000081062317,0.16200000047683716,0.0,0.20900000631809235,0.011,137.33031222,-9.69972391,6.202e-05,4.797e-05,S,2793.88351,0.22326,1140.64139,0.17269,2793.88351,0.22326,1140.6414,0.1727,5.7721,0.5669,4.1644,0.3469,61.7583,14.1222,4.9812,0.5669,2.8091,0.3469,75.8001,14.1222,4.9812,0.5669,2.8091,0.3469,75.7558,14.1222,T08t14,J091022-093000,137.59349,-9.5,5.00267,6065.20295,4.2743,0.0,0.0,83.07,3.5999999046325684,2.2300000190734863,20.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T08t14.J091022-093000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dqwrn55vh22gmppjb&CIRCLE=137.33031222302935+-9.69972390937452+0.025,4.232030714075187
LoVoCCS-13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-21,True,0.969,1896976.0,VLASS1QLCIR J132729.62-312324.0,34.0,62.0,201.87342373,-31.39002412,2.768e-05,3.481e-05,1.96,0.29499998688697815,1.402,0.13500000536441803,2.98,0.314,2.3851,0.2087,152.718,19.6608,1.821,0.2709999978542328,0.12800000607967377,-0.0010000000474974513,0.020999999716877937,-0.001,201.87342373,-31.39002412,2.768e-05,3.481e-05,S,1480.552,0.09964,2255.6993,0.1253,1480.552,0.09964,2255.6993,0.1253,2.98,0.314,2.3851,0.2087,152.7824,19.6608,1.6783,0.314,1.1557,0.2087,172.4288,19.6608,1.6783,0.314,1.1557,0.2087,172.4931,19.6608,T03t21,J132659-313000,201.74995,-31.5,4.75412,83868.79398,3.4679,0.0,0.0,285.29,2.5199999809265137,2.0199999809265137,-40.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T03t21.J132659-313000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dumo2qni4whjvmku7&CIRCLE=201.87342373330932+-31.390024119434838+0.025,0.9872789746102097
LoVoCCS-22,True,6.558,2905047.0,VLASS1QLCIR J203444.40-354855.9,1.0,8.0,308.68500173,-35.81553972,1.588e-05,1.276e-05,694.73,5.315000057220459,50.715,0.23600000143051147,15.0075,0.1346,12.2304,0.1082,0.2353,2.1346,828.274,2.7019999027252197,0.23600000143051147,-0.006000000052154064,0.597000002861023,0.243,308.68719124,-35.81700736,1.588e-05,1.276e-05,M,182.58065,0.05716,719.17823,0.04595,176.22034,0.05716,713.8576,0.0459,15.0072,0.1346,12.23,0.1082,0.5716,2.1346,14.7218,0.1346,11.9933,0.1082,177.8849,2.1346,14.7216,0.1346,11.9929,0.1082,178.2212,2.1346,T02t42,J203226-353000,308.11039,-35.5,4.0806,102894.89019,0.5857,0.0,1.0,22.68,3.2300000190734863,1.940000057220459,32.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T02t42.J203226-353000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Db03ot0nwnstsyqai&CIRCLE=308.68500172835564+-35.81553971555019+0.025,6.57301391826667
LoVoCCS-24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
