cluster_name,bands,E(B-V),FUV_flux,err_FUV_flux,NUV_flux,err_NUV_flux,arcsec_sep_from_bcg,z,FUV_lum,err_FUV_lum,NUV_lum,err_NUV_lum
LoVoCCS-9,NUV,0.0182000007480382,,,22.3149,3.4941,1.0929734975187535,0.0667128096933712,,,3.037385806594197e+42,4.7559835566463586e+41
LoVoCCS-11,NUV+FUV,0.0681999996304512,7.5035,2.29176,10.7843,3.52164,5.224075736860333,0.0542141647973181,9.966516257216547e+41,3.044027893334923e+41,9.517324688427886e+41,3.1079060593413742e+41
LoVoCCS-14,NUV,0.1638000011444091,,,5.38709,1.62508,1.941304461845266,0.0683739586547362,,,7.721001549754532e+41,2.3291322770688993e+41
LoVoCCS-21,NUV+FUV,0.0577999986708164,40.1722,7.00161,49.6688,6.11304,1.1373445791885708,0.047757,4.10082631508654e+42,7.147327389581123e+41,3.368781624823966e+42,4.146163552132103e+41
LoVoCCS-28,NUV,0.0166999995708465,,,10.1132,3.19666,1.6952442512151658,0.0769187659025192,,,1.8572120160614186e+42,5.8704221841384466e+41
LoVoCCS-41C,NUV,0.0401999987661838,,,8.41861,3.66301,3.8465994114504456,0.0862944275140762,,,1.9721241561898476e+42,8.580882717414127e+41
LoVoCCS-42,NUV+FUV,0.0297999996691942,12.2711,2.92071,17.1011,3.44683,3.6231246995696047,0.073977,3.123921107532846e+42,7.435411346971549e+41,2.892571089764794e+42,5.830151750082735e+41
LoVoCCS-60A,NUV,0.1111999973654747,,,5.96871,2.27458,3.882345870579337,,,,,
LoVoCCS-80,NUV,0.0200999993830919,,,8.70883,2.87834,2.01174237923915,0.0854757874196319,,,1.9992596276998577e+42,6.607717634623259e+41
LoVoCCS-131,NUV,0.0540999993681907,,,4.95563,1.91038,4.329078331764852,0.090662,,,1.2893283666961459e+42,4.970320877807631e+41
LoVoCCS-134,NUV,0.0364000014960765,,,12.8789,2.85311,0.271633217434609,0.075308880824038,,,2.2618952102140904e+42,5.01085950136574e+41
LoVoCCS-134,NUV+FUV,0.0364000014960765,4.49651,1.58193,6.82392,1.65634,2.731036832902665,0.075308880824038,1.1885729467303419e+42,4.181552363101895e+41,1.1984712951326694e+42,2.9089965078430657e+41
